date,close,peTTM,pbMRQ,psTTM,pcfNcfTTM,pubDate,statDate,profit_roeAvg,profit_npMargin,profit_gpMargin,profit_netProfit,profit_epsTTM,profit_MBRevenue,profit_totalShare,profit_liqaShare,used_pubDate,effective_date,operation_NRTurnRatio,operation_NRTurnDays,operation_INVTurnRatio,operation_INVTurnDays,operation_CATurnRatio,operation_AssetTurnRatio,growth_YOYEquity,growth_YOYAsset,growth_YOYNI,growth_YOYEPSBasic,growth_YOYPNI,solvency_currentRatio,solvency_quickRatio,solvency_cashRatio,solvency_YOYLiability,solvency_liabilityToAsset,solvency_assetToEquity,cashflow_CAToAsset,cashflow_NCAToAsset,cashflow_tangibleAssetToAsset,cashflow_ebitToInterest,cashflow_CFOToOR,cashflow_CFOToNP,cashflow_CFOToGr,dupont_dupontROE,dupont_dupontAssetStoEquity,dupont_dupontAssetTurn,dupont_dupontPnitoni,dupont_dupontNitogr,dupont_dupontTaxBurden,dupont_dupontIntburden,dupont_dupontEbittogr,fund_days_since_effective,peTTM_eod,pbMRQ_eod,psTTM_eod,pcfNcfTTM_eod,valuation_time_mode,valuation_reference_lag_days,peTTM_rank252,pbMRQ_rank252,psTTM_rank252,pcfNcfTTM_rank252,profit_roeAvg_chg4q,profit_npMargin_chg4q,profit_gpMargin_chg4q,profit_netProfit_chg4q,profit_epsTTM_chg4q,profit_MBRevenue_chg4q,profit_totalShare_chg4q,profit_liqaShare_chg4q,growth_YOYEquity_chg4q,growth_YOYAsset_chg4q,growth_YOYNI_chg4q,growth_YOYEPSBasic_chg4q,growth_YOYPNI_chg4q,solvency_currentRatio_chg4q,solvency_quickRatio_chg4q,solvency_cashRatio_chg4q,solvency_YOYLiability_chg4q,solvency_liabilityToAsset_chg4q,solvency_assetToEquity_chg4q,cashflow_CAToAsset_chg4q,cashflow_NCAToAsset_chg4q,cashflow_tangibleAssetToAsset_chg4q,cashflow_ebitToInterest_chg4q,cashflow_CFOToOR_chg4q,cashflow_CFOToNP_chg4q,cashflow_CFOToGr_chg4q,dupont_dupontROE_chg4q,dupont_dupontAssetStoEquity_chg4q,dupont_dupontAssetTurn_chg4q,dupont_dupontPnitoni_chg4q,dupont_dupontNitogr_chg4q,dupont_dupontTaxBurden_chg4q,dupont_dupontIntburden_chg4q,dupont_dupontEbittogr_chg4q
2025-01-02,13.11592716,31.194748,1.954405,3.552639,292.513094,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,63,31.194748,1.954405,3.552639,292.513094,asof1455_from_lagged_eod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-03,13.53452058,32.166620848024316,2.0152945174772037,3.6633215220364743,301.62634388905775,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,64,32.190325,2.01678,3.666021,301.848618,asof1455_from_lagged_eod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-06,14.16241071,33.82591588733431,2.1192526215022087,3.8522915810014724,317.1855507260677,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,67,33.683691,2.110342,3.836095,315.851905,asof1455_from_lagged_eod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-07,15.57765513,37.049689678395495,2.321227688951443,4.219434542575651,347.41486806122447,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,68,37.049689,2.321227,4.219434,347.414868,asof1455_from_lagged_eod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-08,16.25537781,38.75639252399232,2.428154923224568,4.413803320537427,363.418623915547,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,69,38.661576,2.422215,4.403005,362.529526,asof1455_from_lagged_eod,1,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-09,16.29524385,38.898618158185165,2.437066103617413,4.430000738810547,364.7522698749234,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,70,38.756393,2.428155,4.413803,363.418623,asof1455_from_lagged_eod,1,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-10,15.92648298,37.95044965932722,2.377661256880734,4.322017494189603,355.8612938366973,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,71,37.879337,2.373206,4.313919,355.194471,asof1455_from_lagged_eod,1,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-13,15.71718627,37.31043581852315,2.33756335669587,4.2491292277847315,349.85988570337923,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,74,37.381549,2.342019,4.257228,350.526709,asof1455_from_lagged_eod,1,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-14,17.29189485,41.12681516487,2.5766664331008244,4.683760672162332,385.6460622162333,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,75,41.126815,2.576666,4.683761,385.646062,asof1455_from_lagged_eod,1,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-15,17.3417274,41.15051921613833,2.578151110086455,4.686460574063401,385.86833638731986,2024-10-30,2024-09-30,0.050204,0.110329,0.338933,210782925.39,0.421866,,679036441.0,679036441.0,True,2024-10-31,1.641401,164.493654,0.655166,412.087912,0.520879,0.17329,0.038405,0.073812,-0.062192,-0.083333,-0.068967,1.300145,0.653236,0.147838,0.109845,0.005655,2.301487,0.346948,0.653052,0.280917,3.313189,0.00085,0.0077,0.00085,0.050204,2.440415,0.17329,1.076007,0.110329,0.974554,0.709382,0.159589,76,41.245336,2.584092,4.697259,386.757434,asof1455_from_lagged_eod,1,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
