out_dir,run_name,retention_sheets,retention_rows_loaded,unique_stocks,start_date,end_date,scored_days,trading_days,realized_trades,final_equity,total_return,annualized_return,annualized_volatility,sharpe_rf0,max_drawdown,win_rate,profit_factor,avg_trade_return,median_trade_return,avg_gross_exposure
portfolio_reports/backtests/a_active_vs_backup_asof1455_1y/a_active,a_active,A_Active,50,15,2025-05-27,2026-05-25,241,241,315,218816.59922222325,0.09408299611111626,0.09858242214277668,0.04488006373099982,2.1176532313669556,-0.019057281228224143,0.5301587301587302,1.41320957200864,0.004185059151995145,0.0017262371486261262,0.10507817111093376
portfolio_reports/backtests/a_active_vs_backup_asof1455_1y/a_active_plus_b_backup,a_active_plus_b_backup,"A_Active,B_Backup",150,24,2025-05-27,2026-05-25,241,241,329,220211.0817473318,0.10105540873665908,0.10590412310239716,0.04551917760035182,2.234538102857293,-0.018897517910429817,0.5349544072948328,1.4313243918431962,0.004257770321148987,0.0017262371486261262,0.10602172326135371
