date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2018-01-02,sz.002714,11.05522445,25.848598,6.306116,6.91845,129.411915
2018-01-03,sz.002714,10.9988309,25.716742,6.273948,6.883159,128.751775
2018-01-04,sz.002714,10.98838765,25.692325,6.267991,6.876623,128.629527
2018-01-05,sz.002714,11.24320295,26.288117,6.413342,7.036089,131.612383
2018-01-08,sz.002714,12.36689665,28.915464,7.054319,7.739306,144.766286
2018-01-09,sz.002714,12.45044265,29.110805,7.101975,7.79159,145.744271
2018-01-10,sz.002714,12.39196045,28.974066,7.068616,7.754991,145.059682
2018-01-11,sz.002714,12.2561982,28.656636,6.991174,7.67003,143.470455
2018-01-12,sz.002714,12.3146804,28.793375,7.024534,7.706628,144.155045
2018-01-15,sz.002714,11.91574825,27.860618,6.796975,7.456973,139.485165
2018-01-16,sz.002714,12.8869705,30.131466,7.350979,8.064772,150.854245
2018-01-17,sz.002714,12.8034245,29.936124,7.303323,8.012488,149.87626
2018-01-18,sz.002714,12.60500275,29.472188,7.190139,7.888315,147.553544
2018-01-19,sz.002714,12.52145675,29.276846,7.142483,7.836031,146.575559
2018-01-22,sz.002714,12.86817265,30.087514,7.340257,8.053008,150.634198
2018-01-23,sz.002714,12.9955803,30.38541,7.412932,8.132741,152.125626
2018-01-24,sz.002714,12.88488185,30.126582,7.349788,8.063465,150.829795
2018-01-25,sz.002714,12.8034245,29.936124,7.303323,8.012488,149.87626
2018-01-26,sz.002714,12.7992472,29.926357,7.30094,8.009874,149.82736
2018-01-29,sz.002714,12.5945595,29.44777,7.184182,7.881779,147.431296
2018-01-30,sz.002714,12.42955615,29.06197,7.090061,7.778519,145.499775
2018-01-31,sz.002714,12.45879725,29.130339,7.106741,7.796818,145.84207
2018-02-01,sz.002714,11.3413695,26.517643,6.469338,7.097522,132.761515
2018-02-02,sz.002714,11.5627664,27.035299,6.595627,7.236074,135.353177
2018-02-05,sz.002714,11.1659229,26.107426,6.36926,6.987726,130.707746
2018-02-06,sz.002714,10.5017322,24.554459,5.990393,6.57207,122.932762
2018-02-07,sz.002714,10.0840022,23.57775,5.752111,6.310652,118.042835
2018-02-08,sz.002714,10.4808457,24.505623,5.978479,6.559,122.688266
2018-02-09,sz.002714,10.192612,23.831694,5.814065,6.378621,119.314216
2018-02-12,sz.002714,10.652115,24.976074,5.748964,5.883209,17.386468
2018-02-13,sz.002714,10.5936328,24.83895,5.717401,5.850909,17.291013
2018-02-14,sz.002714,10.7147745,25.122992,5.782781,5.917817,17.488741
2018-02-22,sz.002714,10.9278168,25.622514,5.89776,6.035481,17.836471
2018-02-23,sz.002714,11.0489585,25.906555,5.963141,6.102388,18.034199
2018-02-26,sz.002714,10.53306195,24.69693,5.68471,5.817456,17.192149
