code,name,board,industry,recent_close,recent_turn,recent_volume,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,approx_circ_mv,marketcap_source,marketcap_confidence
600362,江西铜业,sh_mainboard,C32有色金属冶炼和压延加工业,47.36,4.4487,92320649.0,2075227572.0997145,2075241379.3103447,5,3.601879507100205e-05,98283431724.13792,baostock_approx_circ_mv,low_confidence_approx
601390,中国中铁,sh_mainboard,E48土木工程建筑业,4.66,0.9803,200764202.0,20479873712.12894,20479377883.43018,5,0.0001619164013603,95433900936.78464,baostock_approx_circ_mv,low_confidence_approx
002466,天齐锂业,sz_mainboard,C32有色金属冶炼和压延加工业,63.72,6.3031,93016786.0,1475730767.4001682,1475723935.8568084,5,1.465804057252536e-05,94033129192.79584,baostock_approx_circ_mv,low_confidence_approx
000617,中油资本,sz_mainboard,J66货币金融服务,7.41,0.8791,111134401.0,12641838357.410988,12642047330.913002,5,0.000100472307485,93677570722.06535,baostock_approx_circ_mv,low_confidence_approx
002156,通富微电,sz_mainboard,C39计算机、通信和其他电子设备制造业,61.54,8.2734,125544435.0,1517446696.642251,1517453191.4893618,5,1.068056008591866e-05,93384069404.25533,baostock_approx_circ_mv,low_confidence_approx
000807,云铝股份,sz_mainboard,C32有色金属冶炼和压延加工业,26.9,3.5797,124142663.0,3467962762.2426467,3467899699.939988,5,4.097290890657749e-05,93286501928.38568,baostock_approx_circ_mv,low_confidence_approx
300033,同花顺,chinext,J69其他金融业,212.73,6.0419,26488348.0,438410897.2343137,438410897.2343137,5,1.7969806724890534e-05,93263150168.65556,baostock_approx_circ_mv,low_confidence_approx
601727,上海电气,sh_mainboard,C34通用设备制造业,7.34,1.0007,126250760.0,12616244628.75987,12616062500.0,5,6.787194137177518e-05,92601898750.0,baostock_approx_circ_mv,low_confidence_approx
000977,浪潮信息,sz_mainboard,C39计算机、通信和其他电子设备制造业,63.09,6.5415,95952495.0,1466827103.875258,1466831440.0759485,5,1.728306385545082e-05,92542395554.3916,baostock_approx_circ_mv,low_confidence_approx
300475,香农芯创,chinext,F51批发业,204.29,10.9269,49174879.0,450035041.9606659,450035041.9606659,5,1.2323225569864737e-05,91937658722.14442,baostock_approx_circ_mv,low_confidence_approx
002001,新和成,sz_mainboard,C27医药制造业,30.24,0.9725,29532821.0,3036793933.161953,3036729205.4212065,5,6.661686411466458e-05,91830691171.93729,baostock_approx_circ_mv,low_confidence_approx
601881,中国银河,sh_mainboard,J67资本市场服务,12.67,1.0762,77954732.0,7243517190.113361,7243517190.113361,5,8.845360467169987e-05,91775362798.73628,baostock_approx_circ_mv,low_confidence_approx
002230,科大讯飞,sz_mainboard,I65软件和信息技术服务业,41.48,2.2529,49322247.0,2189278130.409694,2189278130.409694,5,3.222574589941902e-05,90811256849.3941,baostock_approx_circ_mv,low_confidence_approx
601958,金钼股份,sh_mainboard,B09有色金属矿采选业,28.07,6.6943,215998572.0,3226604305.155132,3226630171.0136623,5,2.03016589841104e-05,90571508900.3535,baostock_approx_circ_mv,low_confidence_approx
600795,国电电力,sh_mainboard,D44电力、热力生产和供应业,5.03,0.9307,165990793.0,17835048135.811756,17835801078.960274,5,8.492005590176346e-05,89714079427.17018,baostock_approx_circ_mv,low_confidence_approx
600118,中国卫星,sh_mainboard,C39计算机、通信和其他电子设备制造业,75.86,4.1996,49659601.0,1182484069.91142,1182488313.533058,5,9.811076195002866e-06,89703563464.61777,baostock_approx_circ_mv,low_confidence_approx
000538,云南白药,sz_mainboard,C27医药制造业,50.15,0.6309,11185863.0,1773000951.0223489,1772978905.1378284,5,0.0001418784969552,88914892092.6621,baostock_approx_circ_mv,low_confidence_approx
600011,华能国际,sh_mainboard,D44电力、热力生产和供应业,8.06,1.8045,198457349.0,10997913494.042671,10997852721.176168,5,3.298658899674025e-05,88642692932.67992,baostock_approx_circ_mv,low_confidence_approx
000100,TCL科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,4.62,4.83,924068902.0,19131861325.05176,19132049910.45339,5,1.5290618872903503e-05,88390070586.29466,baostock_approx_circ_mv,low_confidence_approx
601231,环旭电子,sh_mainboard,C39计算机、通信和其他电子设备制造业,36.25,2.1815,52117168.0,2389051936.7407746,2389103830.015177,5,3.695421034595906e-05,86605013838.05017,baostock_approx_circ_mv,low_confidence_approx
