code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,history_start,history_end,history_rows,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,recent_close,recent_turn,recent_volume,recent_amount,approx_float_shares,implied_float_shares_5d_median,implied_float_shares_5d_min,implied_float_shares_5d_max,implied_float_shares_5d_obs,implied_float_shares_5d_range_pct,implied_float_shares_unstable_3pct,implied_float_shares_unstable_5pct,approx_circ_mv,pass_90,pass_95,pass_recent,pass_current_trade,pass_st,error
600919,sh.600919,江苏银行,sh_mainboard,J66货币金融服务,证监会行业分类,2016-08-02,2026-06-15,2019-06-15,2026-06-15,1697,1691,1.006547619047619,252,False,False,11.81,0.67,122962378.0,1459276023.82,18352593731.343285,18351117792.08328,18350002226.840855,18352884052.80057,5,0.00015703817022852005,False,False,216726701124.50354,True,True,True,True,True,
000001,sz.000001,平安银行,sz_mainboard,J66货币金融服务,证监会行业分类,1991-04-03,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,11.06,0.7943,154130495.0,1711561286.57,19404569432.204456,19406141725.35211,19404569432.204456,19407028021.60702,5,0.00012669130409127696,False,False,214631927482.39438,True,True,True,True,True,
002142,sz.002142,宁波银行,sz_mainboard,J66货币金融服务,证监会行业分类,2007-07-19,2026-06-15,2019-06-15,2026-06-15,1697,1691,1.006547619047619,252,False,False,32.1,0.4705,31048424.0,1000648540.32,6599027417.640808,6599027417.640808,6598846570.734443,6599861948.2496195,5,0.00015386775215729846,False,False,211828780106.26996,True,True,True,True,True,
000725,sz.000725,京东方A,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2001-01-12,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,5.92,8.4622,2992830668.0,17610050750.1,35367051925.03132,35367133861.39038,35367042164.64917,36341528369.37379,5,0.027553440110351855,False,False,209373432459.43106,True,True,True,True,True,
000651,sz.000651,格力电器,sz_mainboard,C38电气机械和器材制造业,证监会行业分类,1996-11-18,2026-06-15,2019-06-15,2026-06-15,1697,1696,1.0095238095238095,252,False,False,37.86,1.1936,65912328.0,2496546585.25,5522145442.359249,5522145442.359249,5522053809.788654,5522232463.490543,5,3.235222682086967e-05,False,False,209068426447.72116,True,True,True,True,True,
601668,sh.601668,中国建筑,sh_mainboard,E48土木工程建筑业,证监会行业分类,2009-07-29,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,4.75,0.5025,207621374.0,988650281.49,41317686368.15921,41320342620.23218,41317686368.15921,41324604182.80403,5,0.00016741910173401886,False,False,196271627446.10284,True,True,True,True,True,
603288,sh.603288,海天味业,sh_mainboard,C14食品制造业,证监会行业分类,2014-02-11,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,34.14,0.3613,20091293.0,690750637.65,5560833933.019651,5560909648.907439,5560586569.064291,5561469269.10299,5,0.0001587330301028314,False,False,189849455413.69998,True,True,True,True,True,
600406,sh.600406,国电南瑞,sh_mainboard,I65软件和信息技术服务业,证监会行业分类,2003-10-16,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,23.46,0.8176,65476572.0,1540166291.91,8008386986.301371,8008386986.301371,8007767133.492252,8008740623.109498,5,0.00012155876319549274,False,False,187876758698.63016,True,True,True,True,True,
600176,sh.600176,中国巨石,sh_mainboard,C30非金属矿物制品业,证监会行业分类,1999-04-22,2026-06-15,2019-06-15,2026-06-15,1697,1687,1.0041666666666667,252,False,False,45.77,3.9384,157659293.0,7018074732.8,4003130535.242738,4003131356.4185953,4003113476.670943,4003176464.0540304,5,1.5734528167965678e-05,False,False,183223322183.2791,True,True,True,True,True,
601869,sh.601869,长飞光纤,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2018-07-20,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,450.3,3.6023,14637452.0,6454327332.59,406336285.15115345,406341710.73434,406336285.15115345,406342810.1889893,5,1.6058006508966e-05,False,False,182975672343.6733,True,True,True,True,True,
601328,sh.601328,交通银行,sh_mainboard,J66货币金融服务,证监会行业分类,2007-05-15,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,7.01,1.0275,267881625.0,1894528094.51,26071204379.562042,26071612381.0876,26071000000.0,26072899339.339336,5,7.285085830419064e-05,False,False,182762002791.42407,True,True,True,True,True,
600111,sh.600111,北方稀土,sh_mainboard,C32有色金属冶炼和压延加工业,证监会行业分类,1997-09-24,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,50.47,3.8604,139556728.0,6968584427.16,3615084654.4399543,3615058019.9539523,3614993923.6886787,3615085515.0825267,5,2.533607852000921e-05,False,False,182451978267.07596,True,True,True,True,True,
601919,sh.601919,中远海控,sh_mainboard,G55水上运输业,证监会行业分类,2007-06-26,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,14.49,0.9959,125051911.0,1827097887.44,12556673461.190882,12556322580.64516,12555947473.987715,12556673461.190882,5,5.781845747464537e-05,False,False,181941114193.54837,True,True,True,True,True,
600025,sh.600025,华能水电,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2017-12-15,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,9.64,0.2924,54479075.0,523216896.83,18631694596.44323,18631349816.84982,18625134659.52563,18634692851.531815,5,0.0005130166144773573,False,False,179606212234.43228,True,True,True,True,True,
300760,sz.300760,迈瑞医疗,chinext,C35专用设备制造业,证监会行业分类,2018-10-16,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,146.5,0.7779,9424015.0,1390759559.73,1211468697.7760637,1211374401.4732964,1211327878.3211398,1211468697.7760637,5,0.00011624767268699165,False,False,177466349815.83792,True,True,True,True,True,
002281,sz.002281,光迅科技,sz_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,2009-08-21,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,225.47,7.6116,59367293.0,12954066148.38,779958129.6967785,779958597.9928762,779954028.1270373,779963888.9893982,5,1.2642802305571033e-05,False,False,175857265089.4538,True,True,True,True,True,
600522,sh.600522,中天科技,sh_mainboard,C38电气机械和器材制造业,证监会行业分类,2002-10-24,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,51.35,9.0808,309924242.0,15423309740.08,3412961875.6056733,3412940885.1716685,3412939608.778032,3412961875.6056733,5,6.5242347847953175e-06,False,False,175254514453.5652,True,True,True,True,True,
601985,sh.601985,中国核电,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2015-06-10,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,9.25,0.8041,151841136.0,1394111177.84,18883364755.62741,18883339159.093178,18881261635.78852,18884760880.27591,5,0.0001853085652864296,False,False,174670887221.6119,True,True,True,True,True,
002050,sz.002050,三花智控,sz_mainboard,C34通用设备制造业,证监会行业分类,2005-06-07,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,45.75,2.096,77222284.0,3511047252.81,3684269274.80916,3684189173.027542,3684153240.097053,3684269274.80916,5,3.149531868685998e-05,False,False,168551654666.01004,True,True,True,True,True,
601066,sh.601066,中信建投,sh_mainboard,J67资本市场服务,证监会行业分类,2018-06-20,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,25.93,0.9169,59560040.0,1541835711.14,6495805431.3447485,6495196431.822319,6495113163.064833,6495805431.3447485,5,0.00010658157719821015,False,False,168420443477.15274,True,True,True,True,True,
300124,sz.300124,汇川技术,chinext,C38电气机械和器材制造业,证监会行业分类,2010-09-28,2026-06-15,2019-06-15,2026-06-15,1697,1696,1.0095238095238095,252,False,False,69.3,1.4185,34189360.0,2362496635.81,2410247444.483609,2410273109.2436976,2410235527.4757566,2410324022.082763,5,3.6715593211060606e-05,False,False,167031926470.58823,True,True,True,True,True,
600989,sh.600989,宝丰能源,sh_mainboard,C26化学原料和化学制品制造业,证监会行业分类,2019-05-16,2026-06-15,2019-06-15,2026-06-15,1697,1697,1.0101190476190476,252,False,False,22.3,1.5566,114150384.0,2556757211.14,7333315174.097392,7333469063.004847,7333271524.680626,7333763491.318629,5,6.708511807667855e-05,False,False,163536360105.0081,True,True,True,True,True,
