code,code_name,ipoDate,outDate,type,status,code6,baostock_code,name,list_date,out_date,board
sz.300511,雪榕生物,2016-05-04,,1,1,300511,sz.300511,雪榕生物,2016-05-04,,chinext
sz.300512,中亚股份,2016-05-26,,1,1,300512,sz.300512,中亚股份,2016-05-26,,chinext
sz.300513,恒实科技,2016-05-30,,1,1,300513,sz.300513,恒实科技,2016-05-30,,chinext
sz.300514,友讯达,2017-04-26,,1,1,300514,sz.300514,友讯达,2017-04-26,,chinext
sz.300515,三德科技,2016-06-08,,1,1,300515,sz.300515,三德科技,2016-06-08,,chinext
sz.300516,久之洋,2016-06-02,,1,1,300516,sz.300516,久之洋,2016-06-02,,chinext
sz.300517,海波重科,2016-07-19,,1,1,300517,sz.300517,海波重科,2016-07-19,,chinext
sz.300518,新迅达,2016-06-24,,1,1,300518,sz.300518,新迅达,2016-06-24,,chinext
sz.300519,新光药业,2016-06-24,,1,1,300519,sz.300519,新光药业,2016-06-24,,chinext
sz.300520,科大国创,2016-07-08,,1,1,300520,sz.300520,科大国创,2016-07-08,,chinext
sz.300521,爱司凯,2016-07-05,,1,1,300521,sz.300521,爱司凯,2016-07-05,,chinext
sz.300522,世名科技,2016-07-05,,1,1,300522,sz.300522,世名科技,2016-07-05,,chinext
sz.300523,辰安科技,2016-07-26,,1,1,300523,sz.300523,辰安科技,2016-07-26,,chinext
sz.300525,博思软件,2016-07-26,,1,1,300525,sz.300525,博思软件,2016-07-26,,chinext
sz.300526,中潜退,2016-08-02,2023-07-12,1,0,300526,sz.300526,中潜退,2016-08-02,2023-07-12,chinext
sz.300527,ST应急,2016-08-05,,1,1,300527,sz.300527,ST应急,2016-08-05,,chinext
sz.300528,幸福蓝海,2016-08-08,,1,1,300528,sz.300528,幸福蓝海,2016-08-08,,chinext
sz.300529,健帆生物,2016-08-02,,1,1,300529,sz.300529,健帆生物,2016-08-02,,chinext
sz.300530,领湃科技,2016-08-09,,1,1,300530,sz.300530,领湃科技,2016-08-09,,chinext
sz.300531,优博讯,2016-08-09,,1,1,300531,sz.300531,优博讯,2016-08-09,,chinext
sz.300532,今天国际,2016-08-18,,1,1,300532,sz.300532,今天国际,2016-08-18,,chinext
sz.300533,冰川网络,2016-08-18,,1,1,300533,sz.300533,冰川网络,2016-08-18,,chinext
sz.300534,陇神戎发,2016-09-13,,1,1,300534,sz.300534,陇神戎发,2016-09-13,,chinext
sz.300535,达威股份,2016-08-12,,1,1,300535,sz.300535,达威股份,2016-08-12,,chinext
sz.300536,农尚环境,2016-09-20,,1,1,300536,sz.300536,农尚环境,2016-09-20,,chinext
sz.300537,广信材料,2016-08-30,,1,1,300537,sz.300537,广信材料,2016-08-30,,chinext
sz.300538,同益股份,2016-08-26,,1,1,300538,sz.300538,同益股份,2016-08-26,,chinext
sz.300539,横河精密,2016-08-30,,1,1,300539,sz.300539,横河精密,2016-08-30,,chinext
sz.300540,蜀道装备,2016-08-23,,1,1,300540,sz.300540,蜀道装备,2016-08-23,,chinext
sz.300541,先进数通,2016-09-13,,1,1,300541,sz.300541,先进数通,2016-09-13,,chinext
