code,baostock_code,name,board,industry,industryClassification,list_date,asof_date,total_mv,circ_mv,marketcap_source,marketcap_confidence,rank_circ_mv,rank_total_mv,history_start,history_end,valid_days_7y,valid_ratio_7y,valid_days_252,has_recent_st,is_current_st,selected_for_train,selected_for_trade
000766,sz.000766,通化金马,sz_mainboard,C27医药制造业,证监会行业分类,1997-04-30,2026-06-15,,24256782375.583927,baostock_approx_circ_mv,low_confidence_approx,579,579,2019-06-15,2026-06-15,1692,1.0071428571428571,252,False,False,True,True
601069,sh.601069,西部黄金,sh_mainboard,B09有色金属矿采选业,证监会行业分类,2015-01-22,2026-06-15,,24219866162.49758,baostock_approx_circ_mv,low_confidence_approx,580,580,2019-06-15,2026-06-15,1686,1.0035714285714286,252,False,False,True,True
601016,sh.601016,节能风电,sh_mainboard,D44电力、热力生产和供应业,证监会行业分类,2014-09-29,2026-06-15,,24213546691.655098,baostock_approx_circ_mv,low_confidence_approx,581,581,2019-06-15,2026-06-15,1691,1.006547619047619,252,False,False,True,True
600100,sh.600100,同方股份,sh_mainboard,C39计算机、通信和其他电子设备制造业,证监会行业分类,1997-06-27,2026-06-15,,24189498612.30084,baostock_approx_circ_mv,low_confidence_approx,582,582,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
300456,sz.300456,赛微电子,chinext,C39计算机、通信和其他电子设备制造业,证监会行业分类,2015-05-14,2026-06-15,,24172671144.947323,baostock_approx_circ_mv,low_confidence_approx,583,583,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,False
600516,sh.600516,方大炭素,sh_mainboard,C30非金属矿物制品业,证监会行业分类,2002-08-30,2026-06-15,,24155722946.082973,baostock_approx_circ_mv,low_confidence_approx,584,584,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
002624,sz.002624,完美世界,sz_mainboard,I64互联网和相关服务,证监会行业分类,2011-10-28,2026-06-15,,24144198385.83182,baostock_approx_circ_mv,low_confidence_approx,585,585,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601608,sh.601608,中信重工,sh_mainboard,C35专用设备制造业,证监会行业分类,2012-07-06,2026-06-15,,24133800269.95608,baostock_approx_circ_mv,low_confidence_approx,586,586,2019-06-15,2026-06-15,1697,1.0101190476190476,252,False,False,True,True
601866,sh.601866,中远海发,sh_mainboard,G55水上运输业,证监会行业分类,2007-12-12,2026-06-15,,24086882020.75812,baostock_approx_circ_mv,low_confidence_approx,587,587,2019-06-15,2026-06-15,1686,1.0035714285714286,252,False,False,True,True
002157,sz.002157,正邦科技,sz_mainboard,A03畜牧业,证监会行业分类,2007-08-17,2026-06-15,,24063341293.312416,baostock_approx_circ_mv,low_confidence_approx,588,588,2019-06-15,2026-06-15,1694,1.0083333333333333,252,False,False,True,True
