date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount,sector_ret1,sector_ret5,sector_ret20,sector_ret60,sector_ma20_gap,sector_ma60_gap,sector_vol20,sector_range_pct,sector_range_z20,sector_volume_shock20,sector_volume_z20,sector_amount_shock20,sector_amount_z20,sector_vs_bench_ret5,stock_vs_sector_ret1,stock_vs_sector_ret5,stock_vs_sector_ret20
2020-01-02,3387.297,3435.73,3387.297,3431.714,1345690200,15770817000.0,,,,,,,,0.01429842142569715,,,,,,,,,
2020-01-03,3428.645,3428.645,3396.894,3413.626,967454310,10783853100.0,-0.005270835506688387,,,,,,,0.009347068233509948,,,,,,,0.0036947913774527663,,
2020-01-06,3402.298,3453.775,3379.716,3438.868,1058382090,11882071300.0,0.007394483168337684,,,,,,,0.021912787938394906,,,,,,,0.015494230328110703,,
2020-01-07,3449.092,3483.466,3449.017,3483.466,943298120,10218800700.0,0.01296880252455157,,,,,,,0.009988063265562452,,,,,,,-0.016826827215909557,,
2020-01-08,3475.698,3476.196,3420.013,3426.299,999889760,10908871700.0,-0.01641095391773595,,,,,,,0.016427715333245718,,,,,,,0.01021420720975763,,
2020-01-09,3450.154,3478.815,3450.154,3478.815,831968090,8937117200.0,0.015327325490273935,0.013725211366681478,,,,,,0.00830716541928278,,,,,,0.010804137440318978,0.008834794540902857,0.021735781541120103,
2020-01-10,3495.677,3518.475,3476.895,3507.425,924926620,9815619600.0,0.00822406480367599,0.02747781977287489,,,,,,0.011958946128657777,,,,,,0.02308212417696619,0.019934230477906878,0.03882052276856163,
2020-01-13,3500.871,3524.202,3475.994,3524.202,896716240,10511045800.0,0.004783281182063837,0.024814561070678032,,,,,,0.013868838668881445,,,,,,0.006726001159119331,0.07959865812215527,0.10558667349722328,
2020-01-14,3531.17,3538.283,3509.963,3523.888,950750060,10298327400.0,-8.90981844968719e-05,0.011603959964012756,,,,,,0.008068461120530168,,,,,,0.004474781676385556,-0.04018393935816522,0.07747427396317552,
2020-01-15,3516.056,3517.309,3478.36,3497.271,787281090,8366724100.0,-0.007553304758834534,0.020713895664097093,,,,,,0.011197518370726467,,,,,,0.007481209565238393,0.008975779865520117,0.07671400768742287,
