stock_code,sample_path,feature_set,feature,action,reason,rows,non_null_count,missing_count,missing_rate,max_missing
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512660_range_pct_z20,dropped,missing_rate_gt_max,1552,87,1465,0.9439432989690721,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512660_range_pct_z60,dropped,missing_rate_gt_max,1552,77,1475,0.9503865979381443,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512660_volume_shock20,dropped,missing_rate_gt_max,1552,87,1465,0.9439432989690721,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512660_volume_z20,dropped,missing_rate_gt_max,1552,87,1465,0.9439432989690721,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512670_open,dropped,missing_rate_gt_max,1552,97,1455,0.9375,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512670_high,dropped,missing_rate_gt_max,1552,97,1455,0.9375,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512670_low,dropped,missing_rate_gt_max,1552,97,1455,0.9375,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512670_close,dropped,missing_rate_gt_max,1552,97,1455,0.9375,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512670_volume,dropped,missing_rate_gt_max,1552,97,1455,0.9375,0.7
603308,saved_data/603308_pipeline_out/04_external/aero_nuclear_equipment/training_samples_with_aero_nuclear_equipment_external.csv,ABC_full,ane_etf_512670_range_pct,dropped,missing_rate_gt_max,1552,97,1455,0.9375,0.7
