date,open,high,low,close,volume,event_flag,no_price_limit_flag,ema20,ema60,atr14,atrp14,rsi14,rvol20,close_pos,b10_prev,r5,resistance,obv,obv_ma20,obv_std20,bench_close,bench_ret5,ret5,rs5,x1_price_vs_ema20,x2_ema20_vs_ema60,x3_break_b10,x4_close_pos,x5_log_rvol20,x6_obv_z,x7_rs5,x8_atrp_rank,z_x1_price_vs_ema20,z_x2_ema20_vs_ema60,z_x3_break_b10,z_x4_close_pos,z_x5_log_rvol20,z_x6_obv_z,z_x7_rs5,z_x8_atrp_rank,label_rev,p_rev,cv_best_l2,cv_logloss,cv_folds_used,train_n,coef_intercept,coef_z_x1_price_vs_ema20,coef_z_x2_ema20_vs_ema60,coef_z_x3_break_b10,coef_z_x4_close_pos,coef_z_x5_log_rvol20,coef_z_x6_obv_z,coef_z_x7_rs5,coef_z_x8_atrp_rank,atrp14_med60,price_limit_ratio
2018-01-02,10.90826941,11.16717899,10.86738895,11.09223148,3668409.0,0.0,0.0,11.09223148,11.09223148,,,,,0.7499999999974998,,,11.09223148,0.0,,,4087.401,,,,,,,0.7499999999974998,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-03,11.11948512,11.21487286,10.97640351,11.09223148,3559002.0,0.0,0.0,11.09223148,11.09223148,,,,,0.48571428571224995,,,11.09223148,0.0,,,4111.392,,,,,,,0.48571428571224995,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-04,11.07860466,11.13311194,10.99003033,11.0377242,2417829.0,0.0,0.0,11.08704031047619,11.090444356065573,,,,,0.3333333333310036,,,11.08704031047619,-2417829.0,,,4128.811,,,,,,,0.3333333333310036,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-05,11.07179125,11.18761922,11.00365715,11.1058583,2129473.0,0.0,0.0,11.088832499954648,11.090949731276538,,,,,0.5555555555525313,,,11.088832499954648,-288356.0,,,4138.75,,,,,,,0.5555555555525313,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-08,11.07179125,11.12629853,10.71749393,10.79925485,3841952.0,0.0,0.0,11.061253676149445,11.081385964677306,,,,,0.1999999999995125,,11.21487286,11.21487286,-4130308.0,,,4160.159,,,,,,,0.1999999999995125,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-09,10.79925485,10.84694872,10.68342688,10.77200121,1999957.0,0.0,0.0,11.03370582223045,11.07124220222887,,,,,0.5416666666633564,,11.21487286,11.21487286,-6130265.0,,,4189.297,0.024929288807239658,-0.028869778869778817,-0.053799067677018475,,,,0.5416666666633564,,,-0.053799067677018475,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-10,10.78562803,10.86738895,10.43133071,10.49946481,3803452.0,0.0,0.0,10.982825725827551,11.052495402483661,,,,,0.15624999999964118,,11.18761922,11.18761922,-9933717.0,,,4207.813,0.02345215440415327,-0.05343980343980359,-0.07689195784395686,,,,0.15624999999964118,,,-0.07689195784395686,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-11,10.43133071,10.67661347,10.43133071,10.64935983,2082120.0,0.0,0.0,10.95106706908207,11.039277842730097,,,,,0.8888888888852665,,11.18761922,11.18761922,-7851597.0,,,4205.586,0.018594941739886073,-0.03518518518518521,-0.05378012692507128,,,,0.8888888888852665,,,-0.05378012692507128,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-12,10.6289196,10.7651878,10.45858435,10.49946481,2474912.0,0.0,0.0,10.908057330121874,11.021579054771733,,,,,0.1333333333328942,,11.12629853,11.12629853,-10326509.0,,,4225.001,0.02083986710963459,-0.05460122699386505,-0.07544109410349964,,,,0.1333333333328942,,,-0.07544109410349964,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
2018-01-15,10.4926514,10.52671845,9.7431763,9.83175063,7153198.0,0.0,0.0,10.805551930110267,10.98256828674643,,,,,0.11304347826072539,,10.86738895,10.86738895,-17479707.0,,,4225.239,0.015643632851532807,-0.089589905362776,-0.10523353821430881,,,,0.11304347826072539,,,-0.10523353821430881,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.1
