raw_code,stock_code,label_mode,entry_policy,search_dir,summary_file,feature_group,model_name,target_hit_bps,trades,win_rate,avg_return,median_return,compound_return,max_drawdown,profit_factor,windows,sample_file,intraday_bars,feature_pipeline,external,entry_vwap_premium_bps,rank_score,__leaderboard,reject_reason
600312,600312.SH,hit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps/summary_80bps.csv,reversal_fundamental_regime_sector,xgb_d3_400_lr003_mcw3,80.0,131,0.7557251908396947,0.0013837522759986,0.008,0.1840157943908851,-0.1160455449445285,1.2968120244086296,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0131736175380357,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,hit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps/summary_80bps.csv,reversal_fundamental_regime_sector_external,xgb_d3_400_lr003_mcw3,80.0,131,0.7557251908396947,0.0013837522759986,0.008,0.1840157943908851,-0.1160455449445285,1.2968120244086296,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0131736175380357,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,hit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_hit_80bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_hit_80bps/summary_80bps.csv,reversal_fundamental_regime_sector,lgbm_leaves15_700,80.0,145,0.7172413793103448,0.0006596597473455,0.008,0.0849407188338131,-0.0844808552503602,1.1317684766948382,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0131768585751069,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,hit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_hit_80bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_hit_80bps/summary_80bps.csv,reversal_fundamental_regime_sector_external,lgbm_leaves15_700,80.0,145,0.7172413793103448,0.0006596597473455,0.008,0.0849407188338131,-0.0844808552503602,1.1317684766948382,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0131768585751069,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,hit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps/summary_80bps.csv,reversal_fundamental_regime_sector,lgbm_leaves15_700,80.0,150,0.7333333333333333,0.0006371754699105,0.008,0.0833235033173531,-0.0844808552503602,1.1234878011030065,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0133164399230959,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,hit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_80bps/summary_80bps.csv,reversal_fundamental_regime_sector_external,lgbm_leaves15_700,80.0,150,0.7333333333333333,0.0006371754699105,0.008,0.0833235033173531,-0.0844808552503602,1.1234878011030065,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0133164399230959,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,hit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_50bps/summary_50bps.csv,all_no_ak,random_forest_600_d4,50.0,171,0.8187134502923976,0.0005135470081662,0.005,0.0789955152439143,-0.0807952143359898,1.1434480738280688,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.013483305049935,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,all_no_ak,extra_trees_600_d3,50.0,202,0.5445544554455446,0.0029258225931477,0.0024955362098415,0.6913605766970015,-0.2208530088532559,1.3729216700391595,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0136295000376402,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,rank_score_lt_0.0
600312,600312.SH,hit,vwap_low,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_vwap_low_hit_50bps/summary_50bps.csv,reversal_fundamental_regime,xgb_d4_500_lr002_mcw5,50.0,192,0.8333333333333334,0.0005828720691168,0.005,0.1056241314406714,-0.0913571029284028,1.1638804095266042,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0147627634279159,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,avg_return_lt_0.002;profit_factor_lt_1.35;rank_score_lt_0.0
600312,600312.SH,close_profit,all_days,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/10_search/search_all_days_close_profit_50bps/summary_50bps.csv,all_no_ak,xgb_d2_200_lr003_mcw5,50.0,200,0.53,0.0022468705286432,0.001244963040856,0.4765192064273937,-0.1865385643483755,1.306043372098784,10,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/03_sector/training_samples_with_sector.csv,/root/workspace/stock_realtime_v021_full/saved_data/600312_pipeline_out_v2_all14/00_base/600312_5m.csv,"fundamental,sector",,50.0,-0.0148590933420576,saved_data/600312_pipeline_out/99_summary/final_leaderboard.csv,profit_factor_lt_1.35;rank_score_lt_0.0
