trade_date,stock_code,pipeline_dir,sample_file,intraday_bars,feature_group,feature_count,comparable_features,live_missing,train_missing,exactish_features,exactish_share,median_abs_rel_diff,p90_abs_rel_diff,p99_abs_rel_diff,max_abs_rel_diff,lagged_daily_filled,lagged_daily_missing
2026/5/19,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,2.31E-15,3.93E-15,57,0
2026/5/20,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,9.94E-16,2.73E-15,57,0
2026/5/21,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,6.49E-16,8.38E-15,57,0
2026/5/22,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,1.92E-15,1.61E-14,57,0
2026/5/25,002261.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\04_external\ai_compute\training_samples_with_ai_compute_external.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002261_pipeline_out\00_base\002261_5m.csv,all_no_ak,146,146,0,0,146,1,0,0,2.85E-15,4.08E-15,57,0
2026/5/19,002311.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\00_base\002311_5m.csv,all_no_ak,123,119,4,4,119,1,0,0,5.33E-15,1.87E-14,30,4
2026/5/20,002311.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\00_base\002311_5m.csv,all_no_ak,123,122,1,1,122,1,0,0,4.31E-15,8.53E-15,33,1
2026/5/21,002311.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\00_base\002311_5m.csv,all_no_ak,123,122,1,1,122,1,0,0,1.28E-15,1.14E-14,33,1
2026/5/22,002311.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\00_base\002311_5m.csv,all_no_ak,123,116,7,7,116,1,0,0,2.33E-15,1.81E-14,27,7
2026/5/25,002311.SZ,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\04_external\hog\training_samples_with_hog_industry.csv,D:\VSCodeWorkspace\stock_realtime_v021_full\saved_data\asof1455_week_check\002311_pipeline_out\00_base\002311_5m.csv,all_no_ak,123,99,24,24,99,1,0,0,4.05E-15,1.36E-13,10,24
