stock_code,feature_category,rows,comparable,live_missing,train_missing,median_abs_rel_diff,p90_abs_rel_diff,max_abs_rel_diff
002028.SZ,fundamental,395,395,0,0,0.0,0.0,0.0
002028.SZ,lagged_daily_external,420,420,0,0,0.0,0.0,0.0
002028.SZ,stock_asof_derived,45,45,0,0,8.400990892621237e-16,3.5473748214168362e-15,4.323311343407749e-14
002028.SZ,stock_asof_raw,40,40,0,0,0.0,1.389426652401143e-17,1.6792022560575035e-16
002128.SZ,fundamental,405,405,0,0,0.0,0.0,0.0
002128.SZ,stock_asof_derived,45,45,0,0,6.698005791543922e-16,4.116437599291826e-15,1.0904124825295036e-14
002128.SZ,stock_asof_raw,40,40,0,0,0.0,0.0,2.3848391130885984e-16
002261.SZ,fundamental,405,405,0,0,0.0,0.0,0.0
002261.SZ,lagged_daily_external,240,240,0,0,0.0,0.0,0.0
002261.SZ,stock_asof_derived,45,45,0,0,4.374610126881214e-16,3.165166716734248e-15,1.6094113888808634e-14
002261.SZ,stock_asof_raw,40,40,0,0,0.0,2.016056616289923e-17,4.351965530152818e-16
002311.SZ,fundamental,405,405,0,0,0.0,0.0,0.0
002311.SZ,lagged_daily_external,125,88,37,37,0.0,0.0,0.0
002311.SZ,stock_asof_derived,45,45,0,0,5.943591763644484e-16,7.611717760414078e-15,1.36271609231165e-13
002311.SZ,stock_asof_raw,40,40,0,0,0.0,0.0,1.741778939507358e-16
002895.SZ,fundamental,405,405,0,0,0.0,0.0,0.0
002895.SZ,lagged_daily_external,600,600,0,0,0.0,0.0,0.0
002895.SZ,stock_asof_derived,45,45,0,0,5.08852576527063e-16,8.892565376986792e-15,2.4064734580054797e-14
002895.SZ,stock_asof_raw,40,40,0,0,0.0,0.0,0.0
600312.SH,fundamental,395,395,0,0,0.0,0.0,0.0
600312.SH,stock_asof_derived,45,45,0,0,1.2811333190890962e-15,8.300015006431006e-15,2.0108914533523154e-14
600312.SH,stock_asof_raw,40,40,0,0,0.0,0.0,3.237704366299287e-16
600361.SH,fundamental,405,405,0,0,0.0,0.0,0.0
600361.SH,stock_asof_derived,45,45,0,0,1.975503094442397e-15,8.55739090699366e-15,1.9080075337973244e-13
600361.SH,stock_asof_raw,40,40,0,0,0.0,0.0,2.0447372373882275e-16
600487.SH,fundamental,405,405,0,0,0.0,0.0,0.0
600487.SH,lagged_daily_external,240,240,0,0,0.0,0.0,0.0
600487.SH,stock_asof_derived,45,45,0,0,1.325185344307745e-16,3.0525827040139616e-15,2.127443186894581e-14
600487.SH,stock_asof_raw,40,40,0,0,0.0,0.0,0.0
600522.SH,fundamental,395,395,0,0,0.0,0.0,0.0
600522.SH,lagged_daily_external,240,240,0,0,0.0,0.0,0.0
600522.SH,stock_asof_derived,45,45,0,0,1.2523258351693811e-16,2.4287610330238185e-15,8.836141694877865e-15
600522.SH,stock_asof_raw,40,40,0,0,0.0,0.0,0.0
600919.SH,fundamental,280,280,0,0,0.0,0.0,0.0
600919.SH,stock_asof_derived,45,45,0,0,9.490778740187768e-16,1.6808313999898114e-14,3.9474778852434025e-14
600919.SH,stock_asof_raw,40,40,0,0,0.0,0.0,1.5940996689057063e-16
601818.SH,fundamental,280,280,0,0,0.0,0.0,0.0
601818.SH,stock_asof_derived,45,45,0,0,2.3438041630975527e-15,1.6859343782150045e-14,5.0101258369297246e-14
601818.SH,stock_asof_raw,40,40,0,0,0.0,0.0,2.858448551904538e-16
601899.SH,fundamental,405,405,0,0,0.0,0.0,0.0
601899.SH,stock_asof_derived,45,45,0,0,2.190499243980817e-16,8.308953597718424e-16,6.142330567783066e-14
601899.SH,stock_asof_raw,40,40,0,0,0.0,0.0,1.1279329902262764e-16
603308.SH,fundamental,405,405,0,0,0.0,0.0,0.0
603308.SH,lagged_daily_external,330,330,0,0,0.0,0.0,0.0
603308.SH,stock_asof_derived,45,45,0,0,5.910909621846903e-16,6.3715756513068215e-15,5.819034219323671e-13
603308.SH,stock_asof_raw,40,40,0,0,0.0,0.0,0.0
603986.SH,fundamental,395,395,0,0,0.0,0.0,0.0
603986.SH,lagged_daily_external,240,240,0,0,0.0,0.0,0.0
603986.SH,stock_asof_derived,45,45,0,0,0.0,3.5772568825668774e-16,2.9182264081853102e-15
603986.SH,stock_asof_raw,40,40,0,0,0.0,0.0,1.2738989406259583e-16
