date,sector_open,sector_high,sector_low,sector_close,sector_volume,sector_amount
2018-01-02,3440.135,3465.207,3432.649,3464.995,603238660,7970741700.0
2018-01-03,3462.438,3496.58,3458.608,3496.215,818964780,10058026900.0
2018-01-04,3492.285,3500.667,3479.966,3488.755,832370970,9258645300.0
2018-01-05,3482.458,3492.775,3479.825,3488.582,658505520,8007429600.0
2018-01-08,3479.937,3481.137,3450.783,3480.657,657036110,8415644700.0
2018-01-09,3479.984,3487.769,3477.571,3487.119,670411530,8567510900.0
2018-01-10,3482.654,3482.862,3416.368,3439.824,735000170,9101661700.0
2018-01-11,3428.162,3474.841,3418.307,3474.839,617459900,8304862700.0
2018-01-12,3469.52,3474.378,3452.33,3459.943,635639530,8484366400.0
2018-01-15,3447.308,3447.308,3358.308,3368.814,760262170,9992546900.0
2018-01-16,3353.645,3393.694,3351.931,3392.864,659605760,9049410600.0
2018-01-17,3383.986,3407.745,3344.14,3407.745,673552770,9415121100.0
2018-01-18,3398.197,3418.367,3394.44,3416.034,565838010,8506236900.0
2018-01-19,3409.315,3429.735,3394.593,3402.126,581330640,8151447000.0
2018-01-22,3389.638,3409.394,3346.857,3404.402,605066920,8110863400.0
2018-01-23,3394.832,3410.583,3392.814,3410.327,523144000,6969890600.0
2018-01-24,3404.049,3430.426,3386.8,3430.414,598773590,7988842100.0
2018-01-25,3427.344,3449.441,3420.252,3420.749,719098760,9529735100.0
2018-01-26,3408.462,3418.653,3391.578,3396.177,535763030,7336043500.0
2018-01-29,3395.586,3400.46,3356.399,3365.787,574706480,7317470000.0
2018-01-30,3362.243,3369.461,3355.35,3369.418,505727060,6921842300.0
2018-01-31,3357.057,3357.057,3261.025,3266.656,748221980,8639241800.0
2018-02-01,3251.255,3263.003,3103.241,3105.613,811527800,9037274000.0
2018-02-02,3066.358,3073.422,2990.224,3048.525,665574100,7190516000.0
2018-02-05,2995.579,3030.379,2980.347,3012.387,464537440,5046623700.0
2018-02-06,2954.035,2961.637,2817.089,2820.077,751321270,7396962900.0
2018-02-07,2870.96,2893.224,2766.019,2845.656,709439330,6850959000.0
2018-02-08,2839.714,2906.168,2837.119,2905.062,546996940,5277258900.0
2018-02-09,2831.658,2863.022,2783.903,2823.466,857213840,7214826500.0
2018-02-12,2837.953,2914.806,2837.953,2908.14,629017640,5620947900.0
2018-02-13,2914.334,2927.513,2898.494,2899.902,770885270,6288555300.0
2018-02-14,2888.707,2898.648,2877.379,2896.276,506002350,4279097300.0
2018-02-22,2910.044,2939.73,2906.251,2937.515,657678830,5628736400.0
2018-02-23,2935.025,2949.527,2926.113,2945.731,741861440,6394635300.0
2018-02-26,2956.139,3021.902,2956.139,3021.429,879810270,8017771600.0
2018-02-27,3018.256,3052.186,3010.234,3047.308,870348400,8422609800.0
2018-02-28,3025.517,3053.916,3000.879,3046.468,765684130,7421884400.0
2018-03-01,3036.611,3106.708,3028.805,3106.708,902168990,9182961900.0
2018-03-02,3089.495,3119.388,3084.071,3093.957,1058654870,9898975200.0
2018-03-05,3102.982,3130.407,3101.377,3130.395,1010656800,10023447600.0
2018-03-06,3128.7,3155.711,3124.357,3154.744,1028045730,10037887500.0
2018-03-07,3148.431,3154.229,3129.746,3133.341,897957730,8688280100.0
2018-03-08,3130.239,3174.542,3129.412,3174.542,907832820,9583403600.0
2018-03-09,3172.381,3235.355,3172.381,3235.07,1058102300,11892023400.0
